,Startup Name,Industry,Funding Rounds,Investment Amount (USD),Valuation (USD),Number of Investors,Country,Year Founded,Growth Rate (%)
827,Startup_828,HealthTech,4,2251257047.56,3769937449.836943,37,India,2013,19.68
831,Startup_832,HealthTech,4,2142742328.71,6142938215.626701,29,India,2015,129.11
842,Startup_843,HealthTech,8,159567350.14,318238569.8596014,43,India,2017,44.41
903,Startup_904,E-commerce,2,3431070032.32,8976810331.150488,47,India,2009,166.01
928,Startup_929,Blockchain,5,4556111413.16,11006387714.30314,42,India,2013,7.68
935,Startup_936,Fintech,8,3566456111.71,8153414283.46098,37,India,2008,99.87
955,Startup_956,SaaS,1,3273266482.95,15696039481.455557,5,India,2000,72.07
959,Startup_960,SaaS,9,4422194099.16,15172780139.981754,30,India,2015,28.19
964,Startup_965,E-commerce,8,2132931946.4,6134455271.327615,30,India,2006,177.36
980,Startup_981,Fintech,10,347679653.09,1011220427.3266388,49,India,2020,39.22
983,Startup_984,SaaS,8,4383340453.57,11564344492.602425,20,India,2009,70.63
1003,Startup_1004,Blockchain,4,4159402619.85,20213607286.27476,25,India,2023,197.54
1039,Startup_1040,E-commerce,7,1324441598.58,4583200989.365096,22,India,2016,124.01
1054,Startup_1055,Biotech,6,1057447583.41,3301868495.622857,13,India,2012,198.61
1059,Startup_1060,Fintech,10,2416595289.36,6434470434.658726,19,India,2008,172.26
1064,Startup_1065,HealthTech,1,4906087766.5,9747354163.535543,11,India,2002,115.25
1069,Startup_1070,Biotech,5,3858730236.31,13480857973.068811,37,India,2016,86.29
1071,Startup_1072,HealthTech,3,557898826.78,2113246968.5882003,16,India,2009,98.94
1081,Startup_1082,EdTech,10,197478247.72,727327914.6664147,41,India,2020,97.37
1089,Startup_1090,EdTech,9,3369033608.0,10168496271.882622,44,India,2000,14.71
1111,Startup_1112,E-commerce,6,4427687950.6,22130675505.006,46,India,2019,42.55
1118,Startup_1119,HealthTech,1,4335903100.24,9728927874.928274,6,India,2020,15.91
1139,Startup_1140,Fintech,7,2293570166.01,10759511438.52989,22,India,2017,21.16
1150,Startup_1151,E-commerce,9,2704717602.7,8547302181.510029,10,India,2017,136.85
1155,Startup_1156,Biotech,10,4828048903.22,15871336508.841732,12,India,2005,88.52
1164,Startup_1165,Fintech,9,3559033320.35,7246597131.266687,29,India,2022,188.74
1165,Startup_1166,AI,2,847204293.67,2755500792.4756474,18,India,2019,156.81
1169,Startup_1170,Blockchain,2,2007311334.91,3172721560.6251616,26,India,2022,81.98
1185,Startup_1186,SaaS,6,2378574588.1,10821661608.954847,1,India,2003,93.93
1192,Startup_1193,SaaS,1,1250076554.93,4126750412.0230255,7,India,2012,134.22
1202,Startup_1203,SaaS,10,2421678139.71,7419202545.73799,28,India,2022,162.42
1209,Startup_1210,AI,2,2247338329.49,5368327022.8657,29,India,2009,152.05
1214,Startup_1215,EdTech,2,2436408210.88,4692198036.348744,49,India,2001,178.45
1218,Startup_1219,SaaS,6,836107465.7,3300679340.716698,15,India,2011,7.82
1224,Startup_1225,EdTech,2,961523412.82,4065442903.24488,42,India,2013,84.0
1226,Startup_1227,EdTech,6,3651896591.65,17659527292.0952,21,India,2018,85.81
1235,Startup_1236,E-commerce,3,4755031620.99,8585773821.412869,18,India,2015,183.76
1239,Startup_1240,HealthTech,1,4856932414.6,9646163610.245188,40,India,2023,101.73
1241,Startup_1242,EdTech,4,2816896880.99,5121926972.630684,7,India,2015,153.91
1246,Startup_1247,Biotech,2,41661757.11,94123790.32302666,38,India,2022,174.04
1271,Startup_1272,HealthTech,8,4833022671.63,12550137578.581623,25,India,2000,155.22
1282,Startup_1283,SaaS,4,1961132780.92,8835038462.163363,41,India,2008,50.63
1283,Startup_1284,Biotech,10,4887032289.71,22762474960.812943,21,India,2019,8.18
1315,Startup_1316,E-commerce,3,2355703371.36,9374424427.182877,1,India,2017,75.08
1321,Startup_1322,Biotech,6,1148090230.1,4967393685.740578,43,India,2013,94.04
1331,Startup_1332,Fintech,8,3561769238.47,17550821649.24754,49,India,2002,85.39
1351,Startup_1352,E-commerce,1,362414203.07,621383628.7499374,32,India,2002,85.55
1358,Startup_1359,HealthTech,1,1651535578.02,4000309636.974512,32,India,2018,110.45
1364,Startup_1365,Fintech,10,1457690416.24,4967889298.830969,32,India,2015,32.81
1374,Startup_1375,Blockchain,4,1696868524.98,3549872933.918329,35,India,2016,28.73
1378,Startup_1379,SaaS,4,892283017.47,3484734814.046684,45,India,2003,28.34
1379,Startup_1380,E-commerce,9,4294562501.1,9538227044.635326,13,India,2014,74.3
1387,Startup_1388,HealthTech,5,123448746.24,567865270.0401297,6,India,2003,128.18
1388,Startup_1389,E-commerce,5,4981122025.5,9011634398.704908,38,India,2014,145.94
1390,Startup_1391,Fintech,8,3989924157.38,15077677369.532516,8,India,2007,92.16
1422,Startup_1423,SaaS,2,434600808.27,1309938725.7558308,42,India,2021,49.03
1437,Startup_1438,HealthTech,1,94798314.79,270110189.09632176,27,India,2018,187.05
1489,Startup_1490,Blockchain,2,815972207.82,3461755264.4847007,29,India,2003,31.92
1506,Startup_1507,Biotech,10,1123339257.35,4276812870.474005,21,India,2010,145.84
1511,Startup_1512,HealthTech,6,88871619.38,194380244.54210988,7,India,2017,32.0
1513,Startup_1514,Blockchain,5,4915663290.59,17605463068.30596,24,India,2013,129.55
1561,Startup_1562,AI,9,2583232254.79,11799895347.648975,31,India,2006,127.31
1565,Startup_1566,Blockchain,3,3018316396.8,4898867937.686405,43,India,2006,122.6
1589,Startup_1590,Biotech,10,193150607.27,855969079.5108558,2,India,2001,12.91
1594,Startup_1595,EdTech,6,1142746381.41,3294844147.161944,30,India,2016,184.85
1612,Startup_1613,Blockchain,2,3853798575.86,16546681198.689428,16,India,2002,113.94
1641,Startup_1642,SaaS,5,4308535420.02,20136990027.091606,45,India,2010,184.23
1647,Startup_1648,SaaS,8,867190888.84,3542744225.2449474,47,India,2002,126.59
1650,Startup_1651,E-commerce,2,1208489660.56,4744237100.455782,21,India,2008,150.43
1652,Startup_1653,SaaS,10,4019694374.34,12377332555.819525,34,India,2011,16.99
1680,Startup_1681,EdTech,1,4386035955.61,8146909293.303509,32,India,2003,185.74
1682,Startup_1683,HealthTech,2,4887606150.3,11350079171.714949,43,India,2021,127.72
1698,Startup_1699,EdTech,1,2412850903.23,6279824526.760417,48,India,2021,135.45
1706,Startup_1707,HealthTech,3,4322079240.22,19752954335.866924,39,India,2013,186.96
1725,Startup_1726,E-commerce,5,3712546173.94,10812821985.1331,30,India,2013,165.81
1732,Startup_1733,AI,2,919417524.07,4176094407.052784,23,India,2010,161.88
1737,Startup_1738,EdTech,10,1734629805.55,8414877007.871922,47,India,2009,71.56
1759,Startup_1760,Biotech,9,3733431706.72,14539408016.972672,3,India,2014,51.55
1766,Startup_1767,EdTech,10,1092525700.05,4411536158.520741,23,India,2022,121.9
1773,Startup_1774,HealthTech,1,4244437756.46,9442139989.07171,40,India,2010,74.24
1775,Startup_1776,HealthTech,1,2777454036.94,10484017836.85765,26,India,2011,151.21
1776,Startup_1777,SaaS,1,1442671335.49,2645529538.436695,49,India,2006,11.35
1780,Startup_1781,EdTech,8,743829669.78,1743075033.768574,17,India,2009,97.25
1792,Startup_1793,Fintech,5,3120559154.24,12048655852.712044,31,India,2014,142.78
1801,Startup_1802,SaaS,3,170018823.02,572578023.7014642,44,India,2020,175.06
1822,Startup_1823,E-commerce,3,1817083378.14,4421325451.530217,31,India,2012,26.34
1827,Startup_1828,EdTech,3,527410703.53,992172823.9534222,16,India,2012,105.87
1828,Startup_1829,Biotech,9,2358196522.12,5207100848.958324,9,India,2017,156.97
1836,Startup_1837,Fintech,1,1633748553.85,4437117019.890871,47,India,2012,140.08
1846,Startup_1847,E-commerce,9,1407439047.66,3279863474.094178,35,India,2011,166.94
1868,Startup_1869,EdTech,9,4283055681.98,7143213933.564775,40,India,2001,79.95
1871,Startup_1872,SaaS,2,936227264.92,3965655899.215137,9,India,2020,93.23
1875,Startup_1876,Blockchain,1,6199022.92,26105845.111554336,10,India,2000,67.07
1876,Startup_1877,HealthTech,4,4521158791.5,12799270725.623392,32,India,2002,148.36
1877,Startup_1878,E-commerce,4,2291518041.7,4060524680.885816,50,India,2014,112.01
1892,Startup_1893,E-commerce,1,4404758585.75,15388433931.42257,20,India,2004,146.72
1893,Startup_1894,SaaS,6,1194918599.42,2577534812.799385,48,India,2023,159.56
1902,Startup_1903,SaaS,2,3348947675.37,5248902038.331569,2,India,2022,68.33
1922,Startup_1923,SaaS,4,1699159710.17,6382739945.772666,47,India,2003,168.52
1923,Startup_1924,Biotech,6,2214873395.15,8934050981.428701,40,India,2021,28.63
1926,Startup_1927,AI,5,3232794283.65,8380092901.412671,17,India,2012,86.38
1928,Startup_1929,Biotech,10,2944273661.66,12322691953.942944,4,India,2022,7.17
1937,Startup_1938,E-commerce,9,2411863910.48,10555231142.872332,9,India,2023,31.27
1960,Startup_1961,Fintech,5,2210825258.5,8921403094.11907,26,India,2007,112.0
1968,Startup_1969,Biotech,3,686953031.14,1252392661.4804375,25,India,2019,79.66
1970,Startup_1971,HealthTech,2,2284732453.77,4770494918.918923,32,India,2021,199.67
1985,Startup_1986,E-commerce,9,3770833307.07,6610488258.444876,41,India,2004,118.8
1994,Startup_1995,EdTech,2,1410269105.1,6521830765.299062,10,India,2010,17.17
1999,Startup_2000,HealthTech,10,3356099968.48,14057626981.062391,31,India,2022,134.59
2028,Startup_2029,Fintech,8,1841704944.07,7811186300.361251,20,India,2005,108.61
2036,Startup_2037,Biotech,5,4882148616.78,8873234977.076979,1,India,2003,154.95
2054,Startup_2055,Biotech,6,953649006.57,1771438416.905955,42,India,2012,96.41
2057,Startup_2058,SaaS,6,684646308.71,1629988816.8719585,3,India,2019,45.76
2060,Startup_2061,Biotech,5,2744191219.02,4626207279.287883,43,India,2006,40.94
2061,Startup_2062,E-commerce,5,2327966861.38,7551992545.81796,23,India,2016,32.38
2063,Startup_2064,Fintech,8,1581691437.08,7761538351.135091,6,India,2014,60.1
2071,Startup_2072,Biotech,8,2283235115.08,7631901585.511029,33,India,2004,170.6
2077,Startup_2078,EdTech,9,4697181013.96,22782112129.51199,16,India,2011,5.14
2082,Startup_2083,EdTech,3,4767444957.98,13510471394.244518,6,India,2016,77.46
2092,Startup_2093,HealthTech,5,3748358849.72,13786891036.425571,20,India,2022,21.13
2103,Startup_2104,SaaS,2,663948019.28,2386348700.804104,25,India,2000,148.86
2106,Startup_2107,AI,7,4026942754.62,19036654755.85918,21,India,2017,131.18
2107,Startup_2108,E-commerce,3,1934396949.68,7584349812.277239,26,India,2007,81.72
2131,Startup_2132,HealthTech,4,3639986044.1,15437363279.67298,29,India,2019,143.26
2145,Startup_2146,SaaS,8,4370165102.85,10953995624.925049,15,India,2006,64.48
2165,Startup_2166,HealthTech,3,874129872.54,3197811171.904148,44,India,2008,97.07
2168,Startup_2169,HealthTech,1,3408799480.11,10532117082.62671,33,India,2000,158.27
2175,Startup_2176,SaaS,5,868499139.31,4315062976.084092,8,India,2023,94.48
2177,Startup_2178,AI,7,4164211698.46,13899996105.19998,12,India,2008,47.04
2185,Startup_2186,SaaS,9,1435581161.15,4826200391.218093,35,India,2002,121.41
2188,Startup_2189,Blockchain,7,2749070143.59,6278104297.130243,43,India,2021,170.85
2195,Startup_2196,AI,1,342039657.21,1518665605.2116473,26,India,2018,131.15
2198,Startup_2199,E-commerce,9,2941332410.07,7171629632.201731,41,India,2010,120.75
2211,Startup_2212,Biotech,9,2134758802.22,10096466719.215202,36,India,2014,142.03
2235,Startup_2236,Blockchain,9,3165581693.09,7385548248.999832,40,India,2003,94.89
2245,Startup_2246,AI,7,1549606051.61,2347055848.030983,44,India,2016,163.69
2256,Startup_2257,HealthTech,10,609983821.61,2406968512.4791875,35,India,2021,66.77
2267,Startup_2268,EdTech,9,4403430495.83,10334572979.032349,20,India,2013,173.33
2272,Startup_2273,AI,9,3461070557.33,10042886306.305231,8,India,2013,65.48
2276,Startup_2277,Biotech,7,4579999196.58,11424408288.715467,19,India,2004,36.75
2288,Startup_2289,HealthTech,2,2184913626.93,5120334470.679062,9,India,2014,160.41
2307,Startup_2308,HealthTech,3,1285797340.24,5000830436.264413,29,India,2001,131.47
2310,Startup_2311,Blockchain,10,2822588241.14,7884353561.238914,29,India,2003,191.51
2349,Startup_2350,SaaS,3,3506055940.35,15457968435.650972,20,India,2006,161.65
2350,Startup_2351,Biotech,5,901100334.07,4105920884.6083465,37,India,2022,11.1
2378,Startup_2379,SaaS,2,1825694972.01,2989870380.731564,1,India,2013,110.79
2379,Startup_2380,Biotech,10,4192724926.87,10842932541.47016,3,India,2011,112.05
2412,Startup_2413,AI,4,3778195829.33,9274357125.822569,20,India,2001,55.55
2422,Startup_2423,Fintech,8,295138958.93,1390398872.8921657,21,India,2018,102.18
2430,Startup_2431,EdTech,8,2672207973.73,6317993694.089036,22,India,2009,189.45
2436,Startup_2437,HealthTech,6,2555163896.57,6567375284.454301,37,India,2009,40.72
2460,Startup_2461,HealthTech,8,1003554082.59,2021882357.0258071,18,India,2021,112.62
2463,Startup_2464,HealthTech,3,46082316.12,128644352.0980896,45,India,2023,10.7
2487,Startup_2488,EdTech,8,2918233133.63,8014367903.489044,36,India,2019,102.25
2490,Startup_2491,Biotech,9,622488713.81,2022633250.9211483,37,India,2008,110.3
2494,Startup_2495,HealthTech,9,190042950.92,423354875.1334335,2,India,2015,98.53
2502,Startup_2503,EdTech,4,815645303.3,2193151600.0210423,21,India,2000,16.45
2505,Startup_2506,Biotech,5,1131844025.93,4577163838.11581,2,India,2005,172.23
2510,Startup_2511,EdTech,4,2462029778.93,12058675508.684875,15,India,2005,137.69
2518,Startup_2519,HealthTech,10,2111843184.96,3364564185.9345098,41,India,2001,53.45
2520,Startup_2521,HealthTech,1,4908985610.9,23648484768.424187,22,India,2012,110.49
2527,Startup_2528,SaaS,1,4337659305.12,10944578108.084911,2,India,2014,110.78
2534,Startup_2535,EdTech,6,2492726931.4,10618586665.010632,43,India,2012,99.04
2538,Startup_2539,SaaS,9,3062053683.95,5234402507.686904,27,India,2007,19.02
2540,Startup_2541,HealthTech,4,1435157908.04,6919416275.42249,48,India,2004,194.43
2556,Startup_2557,HealthTech,7,469418577.04,1383141331.7935188,1,India,2013,5.9
2578,Startup_2579,AI,6,2936139863.77,8808495199.22416,26,India,2021,69.13
2580,Startup_2581,HealthTech,2,4260840903.99,16650479597.826796,24,India,2013,198.1
2587,Startup_2588,SaaS,2,2245253904.84,6861683940.50412,31,India,2005,130.8
2591,Startup_2592,AI,9,3591416085.65,8811983419.563765,29,India,2002,28.37
2611,Startup_2612,Blockchain,8,2178713639.67,6785959723.6888895,45,India,2014,123.27
2615,Startup_2616,E-commerce,6,3448198735.16,7670553548.958317,2,India,2002,21.2
2628,Startup_2629,HealthTech,6,136226433.98,632221984.7231289,18,India,2018,39.93
2635,Startup_2636,SaaS,4,4699069889.64,16703488558.812662,40,India,2018,55.59
2665,Startup_2666,EdTech,9,2167353310.25,8340251500.155199,10,India,2010,47.97
2675,Startup_2676,EdTech,4,2570179771.52,9374909963.664371,29,India,2005,85.47
2677,Startup_2678,HealthTech,5,4094569123.87,13140070139.907469,32,India,2022,87.19
2702,Startup_2703,AI,2,643498455.3,1785493470.5706944,2,India,2007,198.72
2709,Startup_2710,SaaS,3,478600358.68,2000084681.3154008,50,India,2002,22.91
2712,Startup_2713,SaaS,2,1620999425.28,2827085665.258265,41,India,2013,82.76
2723,Startup_2724,AI,8,3275439751.78,13748919233.651888,31,India,2008,120.61
2726,Startup_2727,E-commerce,6,4525290068.57,12809761715.875746,3,India,2021,17.63
2733,Startup_2734,Blockchain,2,3591630802.91,8823974654.92448,11,India,2007,25.11
2740,Startup_2741,Biotech,8,2496351244.72,10574816873.05017,32,India,2005,187.68
2743,Startup_2744,Biotech,9,2457313691.22,11514497593.11713,37,India,2013,8.17
2747,Startup_2748,HealthTech,4,1141657438.17,4086067676.133308,5,India,2017,50.02
2749,Startup_2750,Fintech,6,3677654686.86,17207131536.230602,9,India,2001,18.42
2752,Startup_2753,HealthTech,10,4700236511.33,7218720657.491623,2,India,2014,109.4
2762,Startup_2763,AI,1,3115260485.3,8996033446.421421,18,India,2016,132.87
2776,Startup_2777,Fintech,10,1124108672.18,2160397152.349914,14,India,2022,25.94
2783,Startup_2784,SaaS,7,2266990051.43,9585378297.045189,3,India,2015,81.1
2792,Startup_2793,E-commerce,6,3232653859.07,16160605545.72524,6,India,2005,187.37
2807,Startup_2808,HealthTech,1,1848731926.09,6450724996.164333,41,India,2002,172.1
2808,Startup_2809,E-commerce,10,734203773.6,1617064460.2368455,20,India,2021,35.12
2833,Startup_2834,EdTech,8,999672720.27,2410365794.006753,34,India,2001,78.93
2871,Startup_2872,EdTech,8,4344554820.87,14142521160.45289,2,India,2014,129.56
2872,Startup_2873,HealthTech,9,1585017293.54,3935526401.405245,47,India,2020,140.17
2875,Startup_2876,EdTech,5,2433022126.66,3662583475.893417,11,India,2020,107.7
2880,Startup_2881,E-commerce,10,3230090147.93,12241449463.977734,3,India,2017,48.07
2882,Startup_2883,Blockchain,7,2745364809.41,9735249209.43085,45,India,2015,130.09
2888,Startup_2889,SaaS,3,4136971360.39,11913728166.27562,48,India,2004,124.65
2889,Startup_2890,Biotech,10,599085858.15,1523461371.161553,17,India,2007,152.32
2891,Startup_2892,Biotech,1,515111457.79,2102110613.3834207,43,India,2020,30.68
2903,Startup_2904,Blockchain,7,332919741.34,1586545292.2229507,23,India,2007,197.43
2926,Startup_2927,E-commerce,1,3347035356.21,5728168501.015726,22,India,2022,27.66
2940,Startup_2941,SaaS,2,2205136183.0,5847410242.797536,39,India,2010,134.9
2962,Startup_2963,E-commerce,2,2997635065.83,11782704174.571022,36,India,2020,151.03
2967,Startup_2968,Fintech,3,65390932.81,266900341.69442523,22,India,2006,36.28
2975,Startup_2976,Fintech,2,3126226790.7,15399524650.050703,16,India,2006,79.14
2989,Startup_2990,Fintech,5,4770478026.18,10838740733.190817,12,India,2014,183.81
3007,Startup_3008,Biotech,9,3901758498.77,17324902571.42442,33,India,2002,175.37
3008,Startup_3009,EdTech,9,3505495994.36,6889429220.705545,7,India,2021,189.81
3015,Startup_3016,Fintech,1,3368668118.41,8608614631.256342,20,India,2018,39.82
3045,Startup_3046,Biotech,9,1620220105.77,2961965355.820223,46,India,2009,88.66
3046,Startup_3047,HealthTech,8,2664052321.03,8218774366.331616,41,India,2010,18.63
3056,Startup_3057,EdTech,1,1653060603.17,2940563177.0160184,40,India,2000,103.37
3062,Startup_3063,Biotech,10,3312594935.28,12928520957.0521,4,India,2015,108.1
3066,Startup_3067,AI,9,4982239248.36,21977816885.3103,3,India,2023,48.28
3086,Startup_3087,SaaS,5,540531315.34,2691341321.6139827,15,India,2017,199.47
3104,Startup_3105,EdTech,7,4624656308.05,18658329529.52656,25,India,2008,95.47
3114,Startup_3115,HealthTech,8,3738486289.03,8951463848.798191,17,India,2023,162.8
3141,Startup_3142,SaaS,10,1737638712.23,5420014533.793021,28,India,2016,169.78
3156,Startup_3157,HealthTech,9,1197442681.3,3340238569.218824,45,India,2014,151.57
3161,Startup_3162,SaaS,1,4594652492.94,20942912965.66017,30,India,2019,129.25
3163,Startup_3164,Biotech,8,2048322370.84,6392067533.806213,35,India,2006,177.83
3166,Startup_3167,Biotech,8,1653512675.62,6179008553.382817,25,India,2006,153.51
3175,Startup_3176,Blockchain,9,3627363455.47,11100985423.91898,35,India,2001,40.9
3183,Startup_3184,EdTech,4,3791794909.54,16864301716.780975,25,India,2000,59.18
3193,Startup_3194,AI,10,2838751790.9,9954967300.194712,30,India,2015,81.38
3199,Startup_3200,HealthTech,8,4040953868.35,20201365436.464108,36,India,2005,100.58
3208,Startup_3209,E-commerce,10,3021510229.44,11773333867.700914,15,India,2013,163.2
3223,Startup_3224,EdTech,1,2002674331.85,4866852826.068915,5,India,2011,15.39
3245,Startup_3246,EdTech,1,1475105306.95,7221845879.165668,40,India,2022,110.42
3287,Startup_3288,EdTech,2,4390615707.26,19332147623.23225,7,India,2009,123.8
3291,Startup_3292,Fintech,9,3089100583.46,9057128490.425358,32,India,2002,169.24
3294,Startup_3295,HealthTech,3,2637905077.66,10826121250.912235,38,India,2001,64.73
3297,Startup_3298,Blockchain,1,3246108861.13,11039241239.13657,14,India,2023,191.98
3299,Startup_3300,Fintech,7,758308250.76,2025062061.2630124,10,India,2015,183.95
3321,Startup_3322,SaaS,6,1709724024.49,7585923817.637366,21,India,2006,131.22
3340,Startup_3341,HealthTech,10,3380320854.73,11012264320.582245,24,India,2001,65.41
3350,Startup_3351,Fintech,10,4923288550.43,16069360794.51722,50,India,2012,144.25
3357,Startup_3358,Biotech,4,3191002550.17,14650901641.819143,23,India,2009,81.68
3364,Startup_3365,E-commerce,3,412167331.97,1436001606.8644102,15,India,2021,182.07
3372,Startup_3373,AI,8,2961702142.54,14188535934.792631,18,India,2008,16.61
3378,Startup_3379,SaaS,4,16773049.09,53602407.40168845,40,India,2003,96.75
3383,Startup_3384,E-commerce,4,1923478278.28,8365841921.887665,42,India,2007,82.39
3387,Startup_3388,HealthTech,4,1772426042.51,8516992095.080294,40,India,2013,55.32
3397,Startup_3398,Biotech,1,2023404596.88,7769671033.264434,28,India,2007,173.55
3401,Startup_3402,HealthTech,4,3882546276.37,10444971185.488771,11,India,2021,159.92
3408,Startup_3409,AI,2,2955762553.06,13806324131.520773,46,India,2013,43.59
