,Startup Name,Industry,Funding Rounds,Investment Amount (USD),Valuation (USD),Number of Investors,Country,Year Founded,Growth Rate (%)
384,Startup_385,AI,10,1070044442.74,3072483280.162908,27,China,2023,43.38
386,Startup_387,Blockchain,9,196943519.68,784352291.2755535,20,China,2016,99.08
388,Startup_389,EdTech,5,2314233330.36,8909969303.165478,50,China,2023,97.42
391,Startup_392,HealthTech,7,655969417.67,2189254237.431064,23,China,2009,193.76
403,Startup_404,Fintech,1,4583390523.54,9053026861.927843,24,China,2000,97.74
404,Startup_405,Fintech,10,2550171823.37,7623211117.260151,2,China,2005,98.98
415,Startup_416,AI,4,2952078433.3,7063596817.003706,14,China,2011,144.42
418,Startup_419,EdTech,8,3003022309.46,14922314302.004656,45,China,2003,101.18
443,Startup_444,Biotech,4,216349988.54,540499255.7214437,28,China,2021,101.11
453,Startup_454,AI,5,3859154912.52,10612758532.76294,8,China,2000,138.53
456,Startup_457,E-commerce,3,4382357129.13,11447776849.02521,28,China,2007,26.66
463,Startup_464,SaaS,6,3861493144.54,13958967022.687202,16,China,2020,95.31
468,Startup_469,SaaS,4,2907407844.08,11400032621.091726,42,China,2020,53.53
494,Startup_495,HealthTech,2,1370732441.66,5391080517.430141,7,China,2003,57.26
496,Startup_497,E-commerce,9,3073430953.79,11671084677.437662,32,China,2008,123.6
503,Startup_504,SaaS,9,4456076385.05,15261720000.75166,8,China,2003,86.34
506,Startup_507,HealthTech,7,1304475055.98,2185894217.198848,47,China,2014,56.82
516,Startup_517,SaaS,7,4193438189.14,14432775342.351368,29,China,2009,127.17
533,Startup_534,SaaS,6,1317260941.19,2869722380.102576,41,China,2000,39.5
537,Startup_538,SaaS,1,3600748407.71,16766620903.77785,8,China,2023,42.91
547,Startup_548,HealthTech,7,3880180265.65,15373998335.574364,29,China,2007,149.51
566,Startup_567,EdTech,7,2928470365.94,7086705218.481168,12,China,2004,142.62
567,Startup_568,Fintech,6,161554130.06,325824880.1788387,13,China,2018,18.52
577,Startup_578,SaaS,3,3445922531.81,7343003550.855804,16,China,2014,80.62
583,Startup_584,HealthTech,1,2206409582.66,5740904668.514672,13,China,2023,79.65
593,Startup_594,AI,5,1945975740.72,6387985660.552797,33,China,2001,26.59
619,Startup_620,HealthTech,3,977479358.18,2554865850.425136,8,China,2015,153.37
627,Startup_628,HealthTech,7,5554259.01,24158922.074298754,15,China,2023,92.56
632,Startup_633,SaaS,4,3033088589.69,14201378679.649582,26,China,2016,193.55
644,Startup_645,HealthTech,2,15013527.27,52692855.75341146,49,China,2001,65.85
665,Startup_666,HealthTech,5,4278917302.6,8939957504.881044,2,China,2013,178.76
666,Startup_667,AI,2,2861228558.29,7492037691.908441,4,China,2014,198.19
679,Startup_680,AI,6,1342699273.56,3122598645.8024178,21,China,2000,186.79
682,Startup_683,Biotech,10,4784644158.95,9968622042.177404,34,China,2001,163.0
718,Startup_719,Fintech,10,3995720766.01,13742682225.237707,29,China,2004,181.77
759,Startup_760,E-commerce,2,2223278646.0,5266135277.555145,35,China,2011,120.37
760,Startup_761,Blockchain,7,1061105298.74,4239941128.049373,11,China,2019,171.71
763,Startup_764,Blockchain,6,3236008320.4,14838791642.1384,16,China,2012,178.71
771,Startup_772,AI,10,3857112593.8,19237200949.4384,2,China,2014,186.36
782,Startup_783,SaaS,8,3407115980.8,12070734335.505426,14,China,2005,80.86
789,Startup_790,E-commerce,3,4850128777.22,24227316609.482616,28,China,2011,48.54
797,Startup_798,Fintech,3,2966488910.0,14503480959.579048,23,China,2009,192.15
811,Startup_812,E-commerce,7,3956730483.49,13776820521.321964,8,China,2006,32.13
836,Startup_837,EdTech,8,454827680.84,1153175920.9152672,9,China,2008,172.03
837,Startup_838,Biotech,7,1762650847.76,4958774151.950804,47,China,2018,153.55
839,Startup_840,SaaS,3,3672196223.49,13599329416.543833,25,China,2008,142.0
843,Startup_844,AI,7,3867321960.54,8539303988.754012,1,China,2006,97.26
850,Startup_851,Blockchain,8,1222647578.06,3024034895.921159,27,China,2002,197.61
851,Startup_852,Biotech,7,1806971205.27,5422096764.591686,21,China,2002,126.46
859,Startup_860,HealthTech,3,56283757.1,239360573.36325768,47,China,2019,116.68
862,Startup_863,SaaS,1,3099878968.79,11300366793.218914,22,China,2020,56.98
863,Startup_864,SaaS,6,1887188098.19,6665066058.837741,32,China,2013,59.62
883,Startup_884,EdTech,7,1942325719.42,6199397563.254241,47,China,2003,76.7
884,Startup_885,Blockchain,2,1981552718.55,5082834045.051372,37,China,2005,149.77
889,Startup_890,Biotech,8,2568989811.8,7550233333.291197,33,China,2011,134.43
891,Startup_892,SaaS,1,997609258.39,4513558916.325172,33,China,2020,117.98
899,Startup_900,SaaS,6,4621471412.17,10277066218.28972,41,China,2023,121.97
925,Startup_926,AI,8,2731808996.8,8920548333.14751,25,China,2008,58.22
942,Startup_943,Fintech,4,4718894347.94,18724658409.35577,40,China,2018,193.29
944,Startup_945,Fintech,9,49931150.23,140892416.0485879,44,China,2015,157.58
952,Startup_953,SaaS,3,3249939276.72,10758581581.2679,4,China,2007,15.62
969,Startup_970,SaaS,6,2893874892.6,11901181635.78104,39,China,2012,175.17
979,Startup_980,EdTech,1,4413410620.87,19553476423.77924,24,China,2019,6.38
985,Startup_986,AI,9,1556488145.65,5888882903.152295,15,China,2006,179.26
1006,Startup_1007,SaaS,4,77799868.42,151326180.20155245,30,China,2000,90.69
1012,Startup_1013,AI,5,2031988628.85,7825980800.799216,17,China,2013,67.54
1018,Startup_1019,HealthTech,8,1718261940.94,4167043322.125773,39,China,2003,197.49
1022,Startup_1023,Biotech,6,880605375.88,3739016719.1673074,29,China,2013,61.39
1028,Startup_1029,E-commerce,4,4818579919.74,22372951233.904022,13,China,2016,102.45
1037,Startup_1038,Blockchain,5,4662467572.77,21120896747.396637,31,China,2020,131.7
1045,Startup_1046,E-commerce,9,4754970176.2,19972589103.986797,47,China,2019,5.6
1058,Startup_1059,SaaS,7,2027313896.26,7989843649.66274,21,China,2010,58.75
1068,Startup_1069,HealthTech,8,4371871461.32,9821283054.95532,22,China,2006,133.43
1072,Startup_1073,AI,2,2770158653.21,13355568022.18534,34,China,2006,197.25
1084,Startup_1085,Fintech,4,2299478214.66,10670945375.174711,37,China,2022,112.44
1114,Startup_1115,Fintech,5,814857166.55,1717562709.89345,26,China,2010,109.06
1151,Startup_1152,HealthTech,9,2414363821.48,7706761532.673634,16,China,2007,192.79
1156,Startup_1157,Biotech,6,3937307679.83,8113515161.584524,26,China,2016,160.24
1166,Startup_1167,AI,2,3107407419.1,8852918681.956612,33,China,2000,45.6
1177,Startup_1178,Fintech,4,2242061422.63,7775391860.059752,2,China,2010,79.25
1183,Startup_1184,Biotech,2,3497175420.2,11555414362.573805,45,China,2000,34.12
1184,Startup_1185,SaaS,5,2639744566.92,11938383803.282526,29,China,2005,49.02
1190,Startup_1191,E-commerce,7,4158148572.86,11502592290.11436,46,China,2003,186.24
1208,Startup_1209,Blockchain,6,2709474361.14,5097848423.917823,49,China,2013,111.32
1212,Startup_1213,Blockchain,9,812833898.0,3500258139.171586,29,China,2007,98.59
1236,Startup_1237,E-commerce,6,904543545.88,4188296413.906277,50,China,2009,100.26
1245,Startup_1246,Biotech,4,380383416.92,1376179860.9871829,29,China,2014,22.94
1251,Startup_1252,AI,1,2252447364.1,11259922120.352455,19,China,2008,46.49
1281,Startup_1282,Blockchain,8,1670948696.64,4207124310.1429377,27,China,2004,99.76
1307,Startup_1308,Blockchain,1,4438211727.34,18832588070.713043,2,China,2023,119.05
1312,Startup_1313,Fintech,9,2548498043.32,12246569492.938911,45,China,2014,169.8
1313,Startup_1314,EdTech,5,3220520356.85,14411258787.728756,11,China,2015,103.26
1316,Startup_1317,EdTech,9,2138788395.63,7465602644.471753,44,China,2016,115.62
1327,Startup_1328,Fintech,5,4730079716.18,16540848283.891731,6,China,2008,62.47
1333,Startup_1334,Biotech,5,2330445397.33,5206998792.259365,39,China,2005,57.77
1341,Startup_1342,EdTech,9,919535780.6,3836078373.377357,11,China,2014,178.97
1356,Startup_1357,Blockchain,4,900856525.01,2096805530.590048,31,China,2008,153.97
1376,Startup_1377,SaaS,7,105862397.94,294871496.04016227,31,China,2014,69.36
1394,Startup_1395,SaaS,8,3769645990.76,17401697103.166683,46,China,2005,7.24
1405,Startup_1406,EdTech,10,4850319168.21,22472037607.310104,49,China,2020,58.62
1412,Startup_1413,Fintech,4,4918505422.7,24263667977.958225,35,China,2000,29.83
1427,Startup_1428,AI,6,3518833517.01,10726270703.360489,23,China,2007,35.44
1438,Startup_1439,AI,9,465946098.27,2164698465.2200274,15,China,2002,55.44
1446,Startup_1447,Fintech,9,3624814789.68,16449043318.441496,5,China,2020,57.56
1449,Startup_1450,Blockchain,5,4612102421.95,15023511161.719725,2,China,2014,90.76
1454,Startup_1455,HealthTech,7,103593556.84,376310853.4340628,10,China,2007,80.43
1457,Startup_1458,Fintech,4,1564811731.89,6253514488.500496,41,China,2003,12.77
1486,Startup_1487,Blockchain,8,60292240.18,144505079.67642322,1,China,2003,141.69
1488,Startup_1489,HealthTech,2,4728011351.49,17955699933.244793,40,China,2009,10.25
1512,Startup_1513,AI,1,2887716158.37,9466614727.126642,12,China,2013,176.98
1515,Startup_1516,AI,8,3092050980.63,10705875247.365362,4,China,2001,23.94
1516,Startup_1517,EdTech,4,2338010613.93,10372721490.750675,36,China,2009,128.74
1519,Startup_1520,HealthTech,6,3351845526.07,5306007574.541358,12,China,2001,134.67
1522,Startup_1523,EdTech,1,2102524704.16,10083369235.354866,37,China,2017,64.14
1527,Startup_1528,Fintech,6,1831497281.36,8263099485.956293,2,China,2003,101.25
1537,Startup_1538,SaaS,10,4522250484.58,9430314681.358343,46,China,2003,187.45
1539,Startup_1540,SaaS,4,1884299399.07,7558557035.255989,42,China,2007,65.57
1543,Startup_1544,Fintech,1,2408244835.2,9189764097.077477,31,China,2002,161.85
1554,Startup_1555,Fintech,4,27159040.35,70603952.07855862,25,China,2019,149.73
1563,Startup_1564,E-commerce,8,3039028140.31,12645400920.048342,44,China,2018,152.71
1566,Startup_1567,HealthTech,10,4794372694.03,16823922988.340952,27,China,2009,55.14
1572,Startup_1573,Biotech,7,3701404336.71,15898939374.416727,23,China,2017,159.39
1581,Startup_1582,EdTech,1,2690460718.08,9423258061.576143,10,China,2011,156.91
1588,Startup_1589,Blockchain,2,89380828.75,400050461.0687374,8,China,2016,79.49
1595,Startup_1596,HealthTech,8,1186738227.85,1788313373.0761526,47,China,2012,12.07
1605,Startup_1606,EdTech,1,1259532517.43,3238188046.4187818,26,China,2015,110.4
1624,Startup_1625,Biotech,5,1417475470.97,4020338392.6349287,2,China,2009,147.09
1627,Startup_1628,AI,5,788303831.78,2937869183.139797,25,China,2020,66.59
1633,Startup_1634,HealthTech,2,4241447036.26,15693696456.96077,1,China,2016,126.84
1636,Startup_1637,SaaS,5,4051993789.05,16098942856.596443,14,China,2023,161.93
1644,Startup_1645,AI,5,2931622738.08,5674496665.542737,5,China,2001,169.22
1681,Startup_1682,E-commerce,7,4104801465.12,19502464538.039635,15,China,2005,20.18
1694,Startup_1695,SaaS,8,2224054942.01,9877315554.1519,17,China,2023,195.84
1697,Startup_1698,Biotech,7,2789168398.14,13238774359.056578,18,China,2011,44.28
1701,Startup_1702,Biotech,10,147654663.53,269323767.3911368,26,China,2012,51.18
1704,Startup_1705,Fintech,5,3870050960.66,9870946751.806065,49,China,2021,63.58
1705,Startup_1706,AI,2,4740632224.44,13748864200.905226,13,China,2011,139.35
1736,Startup_1737,AI,9,4598505777.87,8956127860.525154,23,China,2020,188.03
1738,Startup_1739,HealthTech,8,1043114384.2,3221032506.1611047,29,China,2004,45.29
1742,Startup_1743,Biotech,10,366130222.32,1416700559.461264,30,China,2012,54.18
1771,Startup_1772,HealthTech,2,1269641874.57,2379651621.081445,8,China,2002,146.23
1787,Startup_1788,Biotech,6,372458251.12,695231786.5434613,4,China,2003,20.69
1838,Startup_1839,AI,5,1364024197.38,2984157973.901398,23,China,2005,31.37
1851,Startup_1852,AI,10,4199631015.67,20469672294.94207,37,China,2016,34.66
1867,Startup_1868,SaaS,10,1851651701.96,8376191209.645522,2,China,2000,168.94
1870,Startup_1871,E-commerce,4,1795424211.18,3943550704.218301,3,China,2005,191.67
1879,Startup_1880,Blockchain,6,877412069.41,4255051252.4137583,50,China,2010,169.94
1894,Startup_1895,AI,6,1721467663.17,4930949453.406467,36,China,2009,128.93
1896,Startup_1897,AI,2,2127866252.82,9946272286.779158,13,China,2007,61.87
1918,Startup_1919,E-commerce,5,561378941.4,1161082332.748975,13,China,2004,193.5
1920,Startup_1921,AI,7,4333256138.49,13968734717.162949,30,China,2015,16.29
1934,Startup_1935,Biotech,10,1556183149.39,2734319158.897037,24,China,2005,28.27
1949,Startup_1950,HealthTech,9,543641076.75,2624438662.3014894,8,China,2001,67.2
1983,Startup_1984,E-commerce,7,3224591958.01,13766605600.631048,33,China,2020,118.53
1989,Startup_1990,AI,4,1181411582.05,5857978307.270055,44,China,2013,24.47
1993,Startup_1994,SaaS,7,716116014.52,2405649215.1569786,4,China,2020,24.57
1998,Startup_1999,EdTech,4,3032951301.58,14845737554.111843,27,China,2008,97.92
2010,Startup_2011,SaaS,8,909814913.77,4547660155.677129,17,China,2017,197.35
2022,Startup_2023,AI,8,152332999.05,515819769.4183408,27,China,2013,28.05
2037,Startup_2038,HealthTech,9,2040497210.94,5154613358.529404,26,China,2014,6.04
2040,Startup_2041,E-commerce,5,2509647884.67,4758795063.785931,36,China,2019,64.57
2051,Startup_2052,EdTech,3,2762032778.17,9280499850.639849,6,China,2008,65.95
2067,Startup_2068,E-commerce,4,3632088374.0,9651709456.42665,36,China,2005,96.52
2091,Startup_2092,Biotech,9,1108314184.11,4289207342.551013,1,China,2001,10.36
2100,Startup_2101,Fintech,6,3109805461.53,6944493216.217658,27,China,2005,178.74
2102,Startup_2103,HealthTech,8,4126799405.82,15082678810.88074,31,China,2018,154.17
2120,Startup_2121,SaaS,1,1890537145.75,8579577106.146364,3,China,2007,174.92
2123,Startup_2124,EdTech,8,3861597613.98,6879816721.522512,18,China,2008,174.51
2126,Startup_2127,EdTech,2,3337069972.37,7836544310.459812,16,China,2003,164.22
2134,Startup_2135,Fintech,9,1695896601.25,3820728119.103923,10,China,2019,12.46
2138,Startup_2139,AI,1,383265145.41,1757761360.4398916,36,China,2001,113.38
2143,Startup_2144,EdTech,9,1894750949.64,7521399102.70367,47,China,2001,51.87
2166,Startup_2167,Blockchain,3,767593603.58,2517671449.658994,32,China,2011,159.19
2169,Startup_2170,HealthTech,4,3604486295.21,12101266905.649996,26,China,2001,14.01
2183,Startup_2184,AI,3,4486574541.55,8228887546.353085,45,China,2022,40.68
2186,Startup_2187,AI,6,439288074.42,725571067.1794933,40,China,2004,46.82
2187,Startup_2188,HealthTech,6,4386303779.72,14515064356.961857,36,China,2000,163.26
2189,Startup_2190,HealthTech,2,4718421856.69,11665674654.80376,36,China,2004,42.23
2203,Startup_2204,Fintech,4,503594882.74,2416948634.3555765,38,China,2004,65.66
2207,Startup_2208,SaaS,6,422057210.46,1476576905.3439565,45,China,2014,80.8
2210,Startup_2211,E-commerce,4,237976077.56,648028179.6355797,16,China,2019,162.18
2214,Startup_2215,HealthTech,3,3357684697.4,13652046046.131857,45,China,2022,53.89
2215,Startup_2216,SaaS,6,936743049.04,1919829307.9105296,26,China,2020,135.92
2217,Startup_2218,EdTech,5,3868775745.31,8505635244.877455,48,China,2008,129.64
2224,Startup_2225,E-commerce,6,4695786015.71,13845827307.892246,13,China,2009,46.46
2237,Startup_2238,Fintech,1,3429428644.17,5239081161.621048,41,China,2006,180.87
2240,Startup_2241,EdTech,7,2430547113.41,7321512600.582911,32,China,2015,14.7
2243,Startup_2244,HealthTech,7,1507404913.55,2766394409.2319818,21,China,2002,33.06
2248,Startup_2249,Blockchain,10,3454402304.52,13847160639.420883,22,China,2006,71.71
2265,Startup_2266,AI,10,3092974350.44,8344012211.24767,10,China,2023,79.65
2266,Startup_2267,Blockchain,3,1424004331.11,3479909145.7049108,7,China,2001,77.3
2285,Startup_2286,E-commerce,3,1984609053.06,4276396294.613959,31,China,2020,163.81
2302,Startup_2303,EdTech,5,1008678844.45,4194130071.469336,27,China,2003,24.33
2308,Startup_2309,Blockchain,6,1947199227.09,7048651332.8392105,10,China,2002,19.78
2329,Startup_2330,E-commerce,1,872854938.36,3420694093.615805,44,China,2016,69.42
2332,Startup_2333,Blockchain,3,938101303.06,2066300087.702018,5,China,2000,195.59
2333,Startup_2334,EdTech,1,1794592701.91,4459870357.290771,31,China,2014,129.41
2337,Startup_2338,SaaS,6,2215835127.15,5211918891.839743,28,China,2022,161.45
2343,Startup_2344,Fintech,3,2222370065.77,7303245693.185352,21,China,2016,168.21
2354,Startup_2355,HealthTech,1,2295513424.67,5419272690.521914,4,China,2007,175.13
2366,Startup_2367,HealthTech,8,284767120.65,1158166845.955454,33,China,2011,32.81
2371,Startup_2372,Biotech,6,4905426256.0,11413635120.44028,20,China,2015,126.74
2382,Startup_2383,HealthTech,3,1260472208.85,4249081525.259864,42,China,2023,53.67
2411,Startup_2412,Biotech,9,3204542113.47,13255651099.894247,34,China,2018,103.45
2426,Startup_2427,E-commerce,2,4354130608.8,13251735861.762714,14,China,2017,102.38
2431,Startup_2432,Fintech,1,3002779431.05,10960889309.212198,47,China,2015,68.19
2441,Startup_2442,HealthTech,2,4669530279.07,21259142288.4277,33,China,2000,13.49
2445,Startup_2446,Fintech,10,3264560300.89,6018548364.656938,27,China,2001,34.89
2450,Startup_2451,HealthTech,6,372199317.31,1514960924.8294475,25,China,2019,174.42
2461,Startup_2462,Blockchain,5,3885293279.07,12523046323.229437,24,China,2009,83.33
2479,Startup_2480,AI,2,663835450.03,1484716395.714415,3,China,2017,103.91
2486,Startup_2487,Blockchain,5,1543306825.61,5129477302.959314,29,China,2004,121.84
2499,Startup_2500,HealthTech,7,95352389.96,195159997.82366407,48,China,2001,163.59
2508,Startup_2509,AI,6,4112616793.03,19504799531.617283,41,China,2013,71.06
2519,Startup_2520,E-commerce,3,317493640.9,1501265159.2897136,46,China,2005,132.77
2521,Startup_2522,EdTech,8,2739959829.33,5194771916.429234,7,China,2013,56.69
2529,Startup_2530,Fintech,10,2757352360.98,9148272049.726051,3,China,2007,72.05
2536,Startup_2537,E-commerce,2,4506739313.89,14327286452.801523,26,China,2017,21.6
2546,Startup_2547,AI,2,1549664094.52,3388819844.4095592,37,China,2003,44.84
2554,Startup_2555,SaaS,1,4217353498.1,18871934934.68821,1,China,2008,76.43
2562,Startup_2563,Blockchain,5,665095742.66,3156703565.50011,19,China,2002,143.08
2569,Startup_2570,E-commerce,9,2468754127.78,12227382729.27576,42,China,2014,130.46
2570,Startup_2571,Biotech,2,3413220850.59,10341932619.354414,10,China,2021,189.31
2574,Startup_2575,SaaS,3,156641158.49,338175736.82719094,36,China,2007,196.48
2575,Startup_2576,Blockchain,9,217319605.72,624364883.068209,16,China,2021,73.06
2576,Startup_2577,Fintech,6,3985247122.59,17234974622.714718,2,China,2003,58.92
2585,Startup_2586,EdTech,6,2455992700.12,8446427144.118059,42,China,2004,136.29
2621,Startup_2622,E-commerce,8,2561681878.5,10245526837.85073,3,China,2010,186.2
2624,Startup_2625,Fintech,2,924313219.81,1663324154.462084,38,China,2010,198.49
2634,Startup_2635,Blockchain,8,3267733901.66,5821189175.110459,34,China,2021,108.77
2641,Startup_2642,Blockchain,1,4308533150.91,16512695367.08524,49,China,2013,50.18
2646,Startup_2647,Biotech,5,526941130.25,844548593.0670581,39,China,2013,131.09
2653,Startup_2654,Biotech,7,2038923732.84,5108030293.603264,23,China,2016,174.39
2666,Startup_2667,Blockchain,6,4400949926.06,21340427257.12328,45,China,2022,52.55
2696,Startup_2697,Fintech,4,4084474569.81,7700359763.510019,50,China,2015,53.94
2713,Startup_2714,Blockchain,2,319378955.71,1459884009.79777,40,China,2022,171.06
2735,Startup_2736,AI,8,3574914491.14,14854242865.472967,15,China,2016,161.63
2741,Startup_2742,Biotech,7,2115102971.63,6155651110.470931,10,China,2013,9.5
2751,Startup_2752,EdTech,3,4512516288.04,19946360962.854,34,China,2011,120.79
2753,Startup_2754,Biotech,5,4712137040.18,16011736789.262896,48,China,2009,161.93
2757,Startup_2758,Biotech,7,4421795321.93,15718256742.832968,17,China,2000,43.5
2760,Startup_2761,E-commerce,5,361653907.2,1463800502.9242878,17,China,2010,122.76
2781,Startup_2782,Biotech,2,4776655233.53,22067882575.009712,12,China,2021,14.49
2784,Startup_2785,Blockchain,4,950406374.68,1543415134.9356802,42,China,2010,13.81
2801,Startup_2802,SaaS,9,390769014.52,666478930.4484371,26,China,2013,90.79
2802,Startup_2803,AI,7,2695070596.39,10719632305.899551,49,China,2018,105.39
2809,Startup_2810,HealthTech,2,1244305340.01,5382462197.352734,21,China,2007,133.1
2817,Startup_2818,HealthTech,10,1460685602.51,7074711634.365199,19,China,2004,167.12
2820,Startup_2821,HealthTech,5,95220819.65,322999709.0676268,49,China,2009,80.58
2825,Startup_2826,Fintech,3,3229497913.48,10766814230.92475,5,China,2014,182.57
2828,Startup_2829,Biotech,7,2699067021.73,8511086356.257279,18,China,2017,179.06
2852,Startup_2853,HealthTech,10,3433329273.8,11107161073.877531,7,China,2002,118.48
2854,Startup_2855,Biotech,8,1551866458.68,7475836447.804465,8,China,2011,60.8
2869,Startup_2870,E-commerce,3,2377086411.86,10329299742.17711,14,China,2007,115.96
2890,Startup_2891,SaaS,9,3180991452.37,11843905927.293,47,China,2012,182.55
2918,Startup_2919,AI,9,2623575165.72,9067181139.105207,13,China,2005,67.35
2927,Startup_2928,SaaS,8,1369985795.12,5642012816.26312,41,China,2011,47.5
2931,Startup_2932,EdTech,2,4724329293.74,11085085973.604748,36,China,2018,186.54
2938,Startup_2939,Blockchain,7,3553022567.85,6846089905.207037,1,China,2002,86.58
2952,Startup_2953,AI,6,100374390.2,283660239.1972376,37,China,2015,77.16
2970,Startup_2971,Biotech,6,1366697841.3,3072105444.542368,15,China,2014,20.67
2974,Startup_2975,E-commerce,7,4630714581.32,13086843233.519144,17,China,2014,114.69
2986,Startup_2987,SaaS,1,690393053.67,3425041503.831692,27,China,2007,171.21
2987,Startup_2988,Blockchain,10,1800474929.14,7042479453.704559,22,China,2001,183.26
3005,Startup_3006,Blockchain,1,1331379148.67,4183626047.339869,19,China,2022,111.41
3017,Startup_3018,Biotech,1,3858606878.79,14108245671.741705,3,China,2010,47.59
3035,Startup_3036,E-commerce,8,2151025784.98,8015386145.260005,20,China,2002,63.41
3059,Startup_3060,Fintech,9,2781514172.14,13531710191.133995,32,China,2001,143.37
3068,Startup_3069,EdTech,1,118760725.91,264063959.0068908,29,China,2018,64.86
3074,Startup_3075,Blockchain,8,4042805234.01,7604331036.789307,36,China,2017,94.29
3078,Startup_3079,HealthTech,5,2687633337.61,7202805114.695889,13,China,2012,143.86
3081,Startup_3082,E-commerce,7,3207029594.38,13204754227.5368,9,China,2022,22.69
3082,Startup_3083,E-commerce,1,1735303480.92,7143517755.988474,46,China,2015,198.35
3105,Startup_3106,E-commerce,7,3613872622.76,12744518578.943031,41,China,2004,79.06
3117,Startup_3118,SaaS,6,1390631631.41,4096735098.52498,24,China,2022,137.31
3132,Startup_3133,HealthTech,4,2731484235.03,9330502434.954475,20,China,2001,129.64
3145,Startup_3146,EdTech,1,938565959.06,1534203625.3551233,46,China,2006,21.09
3155,Startup_3156,EdTech,8,336996677.72,1487587630.7199886,13,China,2016,81.05
3177,Startup_3178,Biotech,4,92859428.0,413930324.8080083,15,China,2004,126.82
3184,Startup_3185,Fintech,7,3687338723.58,5580464915.344975,2,China,2016,62.32
3197,Startup_3198,E-commerce,8,2280981904.71,7991264459.263357,47,China,2018,135.81
3200,Startup_3201,Blockchain,5,285905994.64,829799741.669961,2,China,2007,45.1
3210,Startup_3211,Blockchain,3,3940789005.67,6321451048.760881,41,China,2003,70.33
3216,Startup_3217,Fintech,1,1019700796.57,1931821876.8085885,38,China,2011,106.0
3219,Startup_3220,EdTech,5,4229708551.67,17834332519.397236,48,China,2009,107.32
3221,Startup_3222,Biotech,8,1822093655.06,6935710909.551061,5,China,2004,81.29
3226,Startup_3227,E-commerce,1,3324588491.15,10080255152.992304,49,China,2017,183.12
3227,Startup_3228,SaaS,7,36769030.4,155135539.2553694,27,China,2015,8.41
3254,Startup_3255,EdTech,3,1778906504.8,7496698543.099163,49,China,2001,38.63
3259,Startup_3260,Fintech,1,1782516448.52,6337413399.504755,47,China,2001,108.02
3262,Startup_3263,AI,7,382372933.23,634162724.6523468,25,China,2008,38.29
3263,Startup_3264,EdTech,6,4917704707.61,13597003872.01263,33,China,2018,176.75
3313,Startup_3314,Fintech,7,188962283.88,653665895.3460257,7,China,2016,99.69
3319,Startup_3320,Blockchain,7,3215341187.43,14191913303.918097,44,China,2021,5.44
3324,Startup_3325,Blockchain,6,3209326089.3,12769147733.5977,9,China,2014,30.76
3325,Startup_3326,SaaS,1,1883373620.94,7678514180.4804735,42,China,2012,167.7
3338,Startup_3339,Biotech,1,3918777113.08,10443550900.363825,23,China,2019,150.12
